application/1d-interleaved-parityfec;;
application/3gpdash-qoe-report+xml;;
application/3gpp-ims+xml;;
application/a2l;a2l;
application/activemessage;;
application/activity+json;;
application/alto-costmap+json;;
application/alto-costmapfilter+json;;
application/alto-directory+json;;
application/alto-endpointcost+json;;
application/alto-endpointcostparams+json;;
application/alto-endpointprop+json;;
application/alto-endpointpropparams+json;;
application/alto-error+json;;
application/alto-networkmap+json;;
application/alto-networkmapfilter+json;;
application/alto-updatestreamcontrol+json;;
application/alto-updatestreamparams+json;;
application/aml;aml;
application/andrew-inset;ez;
application/applefile;;base64
application/atf;atf;
application/atfx;atfx;
application/atom+xml;atom;8bit
application/atomcat+xml;atomcat;
application/atomdeleted+xml;atomdeleted;
application/atomicmail;;
application/atomsvc+xml;atomsvc;
application/atsc-dwd+xml;dwd;
application/atsc-dynamic-event-message;;
application/atsc-held+xml;held;
application/atsc-rdt+json;;
application/atsc-rsat+xml;rsat;
application/atxml;atxml;
application/auth-policy+xml;apxml;
application/bacnet-xdd+zip;xdd;
application/batch-smtp;;
application/beep+xml;;
application/calendar+json;;
application/calendar+xml;xcs;
application/call-completion;;
application/cals-1840;;
application/captive+json;;
application/cbor;cbor;
application/cbor-seq;;
application/cccex;c3ex;
application/ccmp+xml;ccmp;
application/ccxml+xml;ccxml;
application/cdfx+xml;cdfx;
application/cdmi-capability;cdmia;
application/cdmi-container;cdmic;
application/cdmi-domain;cdmid;
application/cdmi-object;cdmio;
application/cdmi-queue;cdmiq;
application/cdni;;
application/cea;cea;
application/cea-2018+xml;xml;
application/cellml+xml;cellml;
application/cfw;;
application/clr;1clr;
application/clue+xml;xml;
application/clue_info+xml;clue;
application/cms;cmsc;
application/cnrp+xml;;
application/coap-group+json;json;
application/coap-payload;;
application/commonground;dp;
application/conference-info+xml;xml;
application/cose;cbor;
application/cose-key;cbor;
application/cose-key-set;cbor;
application/cpl+xml;cpl,xml;
application/csrattrs;csrattrs;
application/csta+xml;;
application/cstadata+xml;;
application/csvm+json;json;
application/cwt;;
application/cybercash;;
application/dash+xml;mpd,mdp;
application/dashdelta;mpdd;
application/davmount+xml;davmount;
application/dca-rft;;
application/dcd;dcd;
application/dec-dx;;
application/dialog-info+xml;xml;
application/dicom;dcm;
application/dicom+json;json;
application/dicom+xml;xml;
application/dii;dii;
application/dit;dit;
application/dns;;
application/dns+json;;
application/dns-message;;
application/dots+cbor;;
application/dskpp+xml;xmls;
application/dssc+der;dssc;
application/dssc+xml;xdssc;
application/dvcs;dvc;
application/ecmascript;es,ecma,js;
application/edi-consent;;
application/edi-x12;;
application/edifact;;
application/efi;efi;
application/elm+json;;
application/elm+xml;;
application/emergencycalldata.cap+xml;;
application/emergencycalldata.comment+xml;xml;
application/emergencycalldata.control+xml;xml;
application/emergencycalldata.deviceinfo+xml;xml;
application/emergencycalldata.ecall.msd;;
application/emergencycalldata.providerinfo+xml;xml;
application/emergencycalldata.serviceinfo+xml;xml;
application/emergencycalldata.subscriberinfo+xml;xml;
application/emergencycalldata.veds+xml;xml;
application/emma+xml;emma;
application/emotionml+xml;emotionml;
application/encaprtp;;
application/epp+xml;xml;
application/epub+zip;epub;
application/eshop;;
application/example;;
application/exi;exi;
application/expect-ct-report+json;;
application/fastinfoset;;
application/fastsoap;;
application/fdt+xml;fdt;
application/fhir+json;;
application/fhir+xml;;
application/fits;fits;
application/flexfec;;
application/font-sfnt;;
application/font-sfnt - deprecated in favor of font/sfnt;;
application/font-tdpfr;PFR;
application/font-woff;woff;
application/font-woff - deprecated in favor of font/woff;;
application/framework-attributes+xml;;
application/geo+json;json,geojson;
application/geo+json-seq;;
application/geopackage+sqlite3;gpkg;
application/geoxacml+xml;;
application/gltf-buffer;glbin,glbuf;
application/gml+xml;xml,gml;
application/gzip;gz;
application/h224;;
