#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
cii;application/vnd.anser-web-certificate-issue-initiation
cil;application/vnd.ms-artgalry
cla;application/vnd.claymore
class;application/x-java-vm,application/x-java,application/x-java-byte-code,application/x-java-class
clkk;application/vnd.crick.clicker.keyboard
clkp;application/vnd.crick.clicker.palette
clkt;application/vnd.crick.clicker.template
clkw;application/vnd.crick.clicker.wordbank
clkx;application/vnd.crick.clicker
clp;application/x-msclip
clpi;video/mp2t
cls;text/x-tex
cmake;text/x-cmake
cmc;application/vnd.cosmocaller
cmdf;x-chemical/x-cmdf
cml;x-chemical/x-cml
cmp;application/vnd.yellowriver-custom-menu
cmx;image/x-cmx
cob;text/x-cobol
cod;application/vnd.rim.cod
com;application/x-msdos-program,application/x-msdownload,application/octet-stream,text/plain
conf;text/plain
cpa;x-chemical/x-compass
cpi;video/mp2t
cpio;application/x-cpio
cpp;text/x-c++src,text/x-c,text/plain
cpt;application/x-mac-compactpro,image/x-corelphotopaint,application/x-compactpro,application/x-cpt
cr2;image/x-canon-cr2
crd;application/x-mscardfile
crdownload;application/x-partial-download
crl;application/pkix-crl,application/x-pkcs7-crl,application/x-pkcs-crl
crt;application/x-x509-ca-cert,application/pkix-cert,application/x-x509-user-cert
crw;image/x-canon-crw
cryptonote;application/vnd.rig.cryptonote
cs;text/x-csharp
csf;x-chemical/x-cache-csf
csh;application/x-csh,text/x-csh,text/x-script.csh
csm;application/x-cu-seeme,x-chemical/x-csml
csml;x-chemical/x-csml
csp;application/vnd.commonspace
css;text/css,application/x-pointplus
cst;application/x-director
csv;text/csv
ctab;x-chemical/x-cactvs-binary
ctx;x-chemical/x-ctx
cu;application/x-cu-seeme
cub;x-chemical/x-gaussian-cube
cue;application/x-cue
cur;image/x-win-bitmap
curl;application/vnd.curl,text/vnd.curl
cw;application/prs.cww
cww;application/prs.cww
cxf;x-chemical/x-cxf
cxt;application/x-director
cxx;text/x-c++src,text/x-c,text/plain
d;text/x-dsrc
dae;model/vnd.collada+xml
daf;application/vnd.mobius.daf
dar;application/x-dar
dart;application/vnd.dart
dat;application/x-ns-proxy-autoconfig,application/vnd.ms-tnef,text/plain
dataless;application/vnd.fdsn.seed
davmount;application/x-davmount+xml
dbf;application/x-dbf
dbk;application/x-docbook+xml
dc;application/x-dc-rom
dcl;text/x-dcl
dcm;application/dicom
dcr;application/x-director,image/x-kodak-dcr
dcurl;text/vnd.curl.dcurl
dd2;application/vnd.oma.dd2+xml
ddd;application/vnd.fujixerox.ddd
dds;image/x-dds
